contig_1_pilon	contig_2_pilon	99.994	2816332	54	28	4136373	6952632	5290696	8106977	0.0	5.200e+06
contig_1_pilon	contig_2_pilon	99.997	1390054	30	11	1043787	2433834	2107639	3497685	0.0	2.567e+06
contig_1_pilon	contig_2_pilon	99.995	840789	18	18	2516599	3357375	3624446	4465222	0.0	1.552e+06
contig_1_pilon	contig_2_pilon	99.994	699179	31	6	344612	1043788	8806150	8106979	0.0	1.291e+06
contig_1_pilon	contig_2_pilon	99.997	662402	17	3	3473973	4136374	4604796	5267194	0.0	1.223e+06
contig_1_pilon	contig_2_pilon	99.884	345558	190	156	1	345421	528481	873963	0.0	6.357e+05
contig_1_pilon	contig_2_pilon	99.994	116676	4	2	3357318	3473993	4488108	4604780	0.0	2.154e+05
contig_1_pilon	contig_2_pilon	99.998	82771	2	0	2433831	2516601	3503143	3585913	0.0	1.528e+05
contig_1_pilon	contig_2_pilon	100.000	43282	0	0	6952632	6995913	2107641	2064360	0.0	79927
contig_1_pilon	contig_2_pilon	99.538	5628	13	5	4599570	4605191	5000996	5006616	0.0	10237
contig_1_pilon	contig_2_pilon	99.520	5628	13	6	3870176	3875796	5753917	5759537	0.0	10231
contig_1_pilon	contig_2_pilon	97.797	5947	98	24	3869922	3875852	4017637	4011708	0.0	10226
contig_1_pilon	contig_2_pilon	97.845	5939	93	26	2903875	2909795	5006663	5000742	0.0	10226
contig_1_pilon	contig_2_pilon	97.756	5749	107	19	4599511	4605246	2586103	2580364	0.0	9882
contig_1_pilon	contig_2_pilon	97.772	5744	103	21	1516517	1522250	5759586	5753858	0.0	9875
contig_1_pilon	contig_2_pilon	98.120	5639	79	21	4599570	4605195	4017384	4011760	0.0	9801
contig_1_pilon	contig_2_pilon	98.119	5636	78	22	2903921	2909542	5759538	5753917	0.0	9795
contig_1_pilon	contig_2_pilon	92.553	6848	471	37	322450	329278	607903	614730	0.0	9784
contig_1_pilon	contig_2_pilon	92.553	6848	471	37	79362	86189	850992	857820	0.0	9784
contig_1_pilon	contig_2_pilon	98.130	5615	80	18	3870192	3875796	2586018	2580419	0.0	9764
contig_1_pilon	contig_2_pilon	98.114	5619	79	19	1516566	1522168	5006616	5001009	0.0	9764
contig_1_pilon	contig_2_pilon	98.867	5474	45	15	1022281	1027747	5006668	5001205	0.0	9749
contig_1_pilon	contig_2_pilon	99.114	5418	42	5	1022329	1027744	2580415	2585828	0.0	9734
contig_1_pilon	contig_2_pilon	98.776	5475	48	17	3870385	3875848	8123020	8128486	0.0	9721
contig_1_pilon	contig_2_pilon	98.547	5505	63	14	5173611	5179109	5001182	5006675	0.0	9707
contig_1_pilon	contig_2_pilon	98.547	5505	63	14	3870362	3875855	6327961	6333459	0.0	9707
contig_1_pilon	contig_2_pilon	99.022	5420	43	8	1516565	1521978	8128435	8123020	0.0	9707
contig_1_pilon	contig_2_pilon	98.491	5501	56	22	1022286	1027769	6333447	6327957	0.0	9673
contig_1_pilon	contig_2_pilon	98.769	5442	46	18	1022332	1027762	5759538	5754107	0.0	9659
contig_1_pilon	contig_2_pilon	97.757	5618	103	20	2903918	2909526	2580415	2586018	0.0	9655
contig_1_pilon	contig_2_pilon	98.715	5448	50	14	5173611	5179050	2585854	2580419	0.0	9655
contig_1_pilon	contig_2_pilon	97.757	5618	103	20	1516562	1522165	4011760	4017368	0.0	9655
contig_1_pilon	contig_2_pilon	98.715	5447	52	13	1516566	1522001	6333400	6327961	0.0	9655
contig_1_pilon	contig_2_pilon	98.401	5502	59	24	5173607	5179097	8122998	8128481	0.0	9646
